grid_id,zone,zone_source,osm_industrial_share,coj_industrial_matches,coj_residential_matches,coj_evidence_n,coj_industrial_purity
JNB0135,cbd,cbd25_spatial_crosswalk,0.0,0,12,12,0.0
JNB0136,cbd,cbd25_spatial_crosswalk,0.0015082482554253397,0,0,0,0.0
JNB0137,cbd,cbd25_spatial_crosswalk,0.001606542945907206,0,5,5,0.0
JNB0138,residential,residential_fallback,0.0,0,0,0,0.0
JNB0139,residential,residential_fallback,0.0,0,0,0,0.0
JNB0140,residential,residential_fallback,0.0,0,0,0,0.0
JNB0141,residential,residential_fallback,0.0,0,0,0,0.0
JNB0142,residential,residential_fallback,0.0,0,0,0,0.0
JNB0143,residential,residential_fallback,0.0,0,0,0,0.0
JNB0144,residential,residential_fallback,0.0,0,0,0,0.0
JNB0145,residential,residential_fallback,0.0,0,0,0,0.0
JNB0146,residential,residential_fallback,0.003423649699535469,0,0,0,0.0
JNB0147,residential,residential_fallback,0.0,0,0,0,0.0
JNB0148,industrial,osm_industrial_share_ge_0.03,0.8969630630950141,0,0,0,0.0
JNB0149,industrial,osm_industrial_share_ge_0.03,0.2581598839837537,0,0,0,0.0
JNB0150,residential,residential_fallback,0.0,0,0,0,0.0
JNB0151,residential,residential_fallback,0.0,0,7,7,0.0
JNB0152,residential,residential_fallback,0.0,14,9,23,0.6086956521739131
JNB0153,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.0,3,0,3,1.0
JNB0154,residential,residential_fallback,0.0,0,77,77,0.0
JNB0155,residential,residential_fallback,0.0,0,51,51,0.0
JNB0156,residential,residential_fallback,0.0,0,15,15,0.0
JNB0157,cbd,cbd25_spatial_crosswalk,0.034353676578588455,2,3,5,0.4
JNB0158,cbd,cbd25_spatial_crosswalk,0.12186957670037481,0,0,0,0.0
JNB0159,cbd,cbd25_spatial_crosswalk,0.1450892128221818,0,0,0,0.0
JNB0160,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0161,cbd,cbd25_spatial_crosswalk,0.0,0,0,0,0.0
JNB0162,residential,residential_fallback,0.008422319429215792,0,0,0,0.0
JNB0163,residential,residential_fallback,0.0,0,0,0,0.0
JNB0164,residential,residential_fallback,0.0,0,0,0,0.0
JNB0165,residential,residential_fallback,0.0,0,0,0,0.0
JNB0166,residential,residential_fallback,0.0,0,0,0,0.0
JNB0167,residential,residential_fallback,0.0,0,0,0,0.0
JNB0168,residential,residential_fallback,0.0,0,0,0,0.0
JNB0169,residential,residential_fallback,0.0,0,0,0,0.0
JNB0170,residential,residential_fallback,0.0,0,0,0,0.0
JNB0171,residential,residential_fallback,0.0,0,0,0,0.0
JNB0172,industrial,osm_industrial_share_ge_0.03,0.1449607339596007,0,0,0,0.0
JNB0173,industrial,osm_industrial_share_ge_0.03,0.04122701243476611,0,0,0,0.0
JNB0174,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.0,23,0,23,1.0
JNB0175,residential,residential_fallback,0.0,1,3,4,0.25
JNB0176,industrial,osm_industrial_share_ge_0.03,0.05898583981818384,150,2,152,0.9868421052631579
JNB0177,industrial,coj_zoning_industrial_n3_purity_ge_0.70,0.017846509756407114,129,0,129,1.0
JNB0178,residential,residential_fallback,0.0,0,5,5,0.0
JNB0179,residential,residential_fallback,0.0,0,24,24,0.0
JNB0180,residential,residential_fallback,0.0,0,29,29,0.0
JNB0181,cbd,cbd25_spatial_crosswalk,0.10682211267814577,0,22,22,0.0
JNB0182,cbd,cbd25_spatial_crosswalk,0.24587801709703197,0,0,0,0.0
JNB0183,cbd,cbd25_spatial_crosswalk,0.02603347880898327,0,0,0,0.0
