anchor_id,region_key,grid_id,source_annotation_path,source_feature_id,quality_tier,anchor_policy,centroid_lon,centroid_lat,source_area_m2,source_width_m,source_height_m,chip_half_m,search_radius_m,chip_lon_min,chip_lat_min,chip_lon_max,chip_lat_max,alignment_note
johannesburg_G0922_a000001,johannesburg,G0922,data/annotations_channel2_micro/G0922/G0922_T1.gpkg,0,,gt_centroid_buffered_bbox,28.0143038867,-26.1831845556,145.5875,12.5269,15.8349,18.00,10.00,28.0141223677,-26.1833483328,28.0144854063,-26.1830207782,source mask used as anchor only
johannesburg_G0922_a000002,johannesburg,G0922,data/annotations_channel2_micro/G0922/G0922_T1.gpkg,1,,gt_centroid_buffered_bbox,28.0191658057,-26.1845402647,91.4414,13.2230,17.9818,18.00,10.00,28.0189842780,-26.1847040478,28.0193473339,-26.1843764814,source mask used as anchor only
